basket;social;income;population;sme;invest;area;employ
102358,60;302971611,10;77049720,70;1094548,00;552,67;48336,42;24,60;35,67
102807,15;19108436,50;9467999,50;106798,00;310,57;19084,99;24,40;18,31
97641,29;12331925,80;8599653,50;88917,00;285,42;2509,21;23,50;25,72
99319,81;11447786,20;8403537,90;70821,00;362,06;3868,08;29,00;18,38
120366,20;9333455,40;6579344,70;63995,00;318,82;21831,72;24,40;9,10
156300,69;108937802,90;17173863,80;182496,00;273,63;346726,70;23,90;19,48
;8466886,90;5763020,80;49787,00;272,71;21425,74;25,77;19,39
;3454268,40;3418557,60;40847,00;292,15;8955,98;23,97;24,01
;3891590,30;2357714,40;19697,00;222,81;3672,44;26,47;14,39
;3008082,20;1498677,10;16058,00;247,00;72299,85;27,53;12,04
;4178751,40;2711544,40;33440,00;308,05;15423,44;27,20;21,12
;8721436,90;4778413,10;46084,00;316,01;3061,89;26,10;26,81
;5732522,70;4489830,70;17789,00;291,93;9199,90;29,96;9,45
